"plant_number","leaf_sample","species","la","sla","ldmc","ssd","rtd","srl","seed_mass"
21,3,"coin",19.135,12.8509066487576,0.338871187983614,0.392549019607843,23.3980582524272,32.6430152143845,0.0046304
22,1,"coin",35.962,13.6945925361767,0.307890725759175,0.408684210526316,21.8248175182482,87.5264214046823,0.0046304
22,2,"coin",29.752,15.5281837160752,0.367542681757146,0.408684210526316,21.8248175182482,87.5264214046823,0.0046304
22,3,"coin",21.792,15.378969654199,0.347644749754661,0.408684210526316,21.8248175182482,87.5264214046823,0.0046304
23,1,"coin",24.873,19.2664601084431,0.298290203327172,0.451428571428571,27.7922077922078,53.4551401869159,0.0046304
23,2,"coin",31.013,19.6160657811512,0.321015228426396,0.451428571428571,27.7922077922078,53.4551401869159,0.0046304
23,3,"coin",23.94,20.7272727272727,0.328872437357631,0.451428571428571,27.7922077922078,53.4551401869159,0.0046304
24,1,"coin",39.681,13.8405999302407,0.37055706346129,0.428709677419355,16.4414414414414,44.5158904109589,0.0046304
24,2,"coin",18.416,10.1242440901594,0.354304635761589,0.428709677419355,16.4414414414414,44.5158904109589,0.0046304
24,3,"coin",40.146,13.1626229508197,0.374692874692875,0.428709677419355,16.4414414414414,44.5158904109589,0.0046304
25,1,"cote",12.492,15.8931297709924,0.374107567824845,0.430707070707071,39.3729372937294,20.9969823973177,0.0019864
25,2,"cote",10.796,13.7704081632653,0.386397240019714,0.430707070707071,39.3729372937294,20.9969823973177,0.0019864
25,3,"cote",10.175,13.7314439946019,0.384935064935065,0.430707070707071,39.3729372937294,20.9969823973177,0.0019864
26,1,"cote",14.56,22.5736434108527,0.307875894988067,0.396262626262626,30.7,29.4568403908795,0.0019864
26,2,"cote",12.481,26.0020833333333,0.306122448979592,0.396262626262626,30.7,29.4568403908795,0.0019864
26,3,"cote",12.425,22.9667282809612,0.287765957446808,0.396262626262626,30.7,29.4568403908795,0.0019864
27,1,"cote",16.016,15.7019607843137,0.36234458259325,0.438030303030303,34.1228070175439,14.7468894601542,0.0019864
27,2,"cote",23.233,15.8262942779292,0.348610781287105,0.438030303030303,34.1228070175439,14.7468894601542,0.0019864
27,3,"cote",17.361,14.9922279792746,0.365414957399811,0.438030303030303,34.1228070175439,14.7468894601542,0.0019864
28,1,"cote",15.914,18.461716937355,0.36402027027027,0.436149732620321,31.3333333333333,32.471158392435,0.0019864
28,2,"cote",25.359,12.6352765321375,0.372979000185839,0.436149732620321,31.3333333333333,32.471158392435,0.0019864
28,3,"cote",10.985,22.0582329317269,0.326771653543307,0.436149732620321,31.3333333333333,32.471158392435,0.0019864
29,1,"eucr",2.983,10.6156583629893,0.35705209656925,0.454978540772532,31.6058394160584,31.9576212471132,0.00095
29,2,"eucr",5.185,9.04886561954625,0.39273474982865,0.454978540772532,31.6058394160584,31.9576212471132,0.00095
29,3,"eucr",3.715,11.3608562691131,0.355048859934853,0.454978540772532,31.6058394160584,31.9576212471132,0.00095
30,1,"eucr",8.53,11.6530054644809,0.351585014409222,0.461008902077151,26.0671462829736,26.6150873965041,0.00095
30,2,"eucr",8.692,13.0903614457831,0.359891598915989,0.461008902077151,26.0671462829736,26.6150873965041,0.00095
30,3,"eucr",6.81,12.5183823529412,0.326726726726727,0.461008902077151,26.0671462829736,26.6150873965041,0.00095
31,1,"eucr",9.994,9.16880733944954,0.391101542877646,0.448368298368298,32.9828326180258,24.7480806766428,0.00095
31,2,"eucr",9.366,12.2271540469974,0.360810174281677,0.448368298368298,32.9828326180258,24.7480806766428,0.00095
31,3,"eucr",10.826,9.77075812274368,0.393745557924662,0.448368298368298,32.9828326180258,24.7480806766428,0.00095
32,1,"eucr",7.392,10.4112676056338,0.360589131538852,0.451746031746032,26.6907775768535,23.4390921409214,0.00095
32,2,"eucr",6.601,10.4446202531646,0.346111719605696,0.451746031746032,26.6907775768535,23.4390921409214,0.00095
32,3,"eucr",5.341,11.0123711340206,0.318450426789232,0.451746031746032,26.6907775768535,23.4390921409214,0.00095
33,1,"eucr_dry",25.351,9.61722306525038,0.353351206434316,0.437943262411348,14.4980694980695,48.6816245006658,0.00095
33,2,"eucr_dry",27.53,10.0879443019421,0.345443037974684,0.437943262411348,14.4980694980695,48.6816245006658,0.00095
33,3,"eucr_dry",29.389,9.1241850357032,0.363544018058691,0.437943262411348,14.4980694980695,48.6816245006658,0.00095
34,1,"eucr_dry",19.85,12.0375985445725,0.334754364596021,0.476241134751773,29.0692124105012,36.7519704433498,0.00095
34,2,"eucr_dry",20.349,11.3112840466926,0.343189622281572,0.476241134751773,29.0692124105012,36.7519704433498,0.00095
34,3,"eucr_dry",29.071,10.2543209876543,0.345100426049909,0.476241134751773,29.0692124105012,36.7519704433498,0.00095
35,1,"eucr_dry",7.138,9.68521031207598,0.370537958773253,0.475806451612903,16.0044150110375,42.5332413793103,0.00095
35,2,"eucr_dry",7.855,10.0447570332481,0.36036866359447,0.475806451612903,16.0044150110375,42.5332413793103,0.00095
35,3,"eucr_dry",8.233,8.9295010845987,0.373581847649919,0.475806451612903,16.0044150110375,42.5332413793103,0.00095
36,1,"eucr_dry",13.709,14.6307363927428,0.343601026769344,0.471100917431193,22.1888412017167,39.5450676982592,0.00095
36,2,"eucr_dry",10.825,1.2871581450654,3.52177554438861,0.471100917431193,22.1888412017167,39.5450676982592,0.00095
36,3,"eucr_dry",17.293,16.4695238095238,0.321002751452155,0.471100917431193,22.1888412017167,39.5450676982592,0.00095
37,1,"eumo",25.988,10.7432823480777,0.356942599970488,0.463652173913044,27.5339366515837,34.2664749383731,0.00218
37,2,"eumo",41.347,10.8951251646904,0.36101598173516,0.463652173913044,27.5339366515837,34.2664749383731,0.00218
37,3,"eumo",31.289,10.228506047728,0.368243649933791,0.463652173913044,27.5339366515837,34.2664749383731,0.00218
38,1,"eumo",62.191,12.2640504831394,0.32336436678995,0.429269406392694,22.7044025157233,52.7642659279778,0.00218
38,2,"eumo",54.231,12.7332707208265,0.306932833669645,0.429269406392694,22.7044025157233,52.7642659279778,0.00218
38,3,"eumo",61.801,10.3710354086256,0.344072983428604,0.429269406392694,22.7044025157233,52.7642659279778,0.00218
39,1,"eumo",64.76,9.20801933740936,0.373896863370548,0.452443729903537,32.4657534246575,37.0126582278481,0.00218
39,2,"eumo",41.068,10.5546132099717,0.356351314222914,0.452443729903537,32.4657534246575,37.0126582278481,0.00218
39,3,"eumo",69.476,9.15241733631933,0.374586725882063,0.452443729903537,32.4657534246575,37.0126582278481,0.00218
40,1,"eumo",45.69,10.5373616236162,0.372764786795048,0.447042682926829,31.3669064748201,31.1125,0.00218
40,2,"eumo",51.93,11.519520851819,0.375791930643548,0.447042682926829,31.3669064748201,31.1125,0.00218
40,3,"eumo",67.236,9.07001214083367,0.370965320522444,0.447042682926829,31.3669064748201,31.1125,0.00218
41,1,"eute",51.535,18.7604659628686,0.261818528402592,0.347466216216216,20.7560975609756,74.280258519389,0.00138
